,hs6,hs6_name
363,200510,Homogenised_vegetables
364,200520,Potatoes
365,200540,Peas_(Pisum_sativum)
366,200551,Beans__shelled
367,200559,Other
368,200560,Asparagus
369,200570,Olives
370,200580,Sweet_corn_(Zea_mays_var._saccharata)
371,200591,Bamboo_shoots
372,200599,Other
373,200600,Vegetables__fruit__nuts__fruit-peel_and_other_parts_of_plants__preserved_by_sugar_(drained__glace_or_crystallised)
374,200710,Homogenised_preparations
375,200791,Citrus_fruit
376,200799,Other
377,200811,Ground-nuts
378,200819,Other__including_mixtures
379,200820,Pineapples
380,200830,Citrus_fruit
381,200840,Pears
382,200850,Apricots
383,200860,Cherries
384,200870,Peaches__including_nectarines
385,200880,Strawberries
386,200893,Cranberries_(Vaccinium_macrocarpon__Vaccinium_oxycoccos__Vaccinium_vitis-idaea)
387,200897,Mixtures
388,200899,Other
389,200911,Frozen
390,200912,Not_frozen__of_a_Brix_value_not_exceeding_20
391,200919,Other
392,200921,Of_a_Brix_value_not_exceeding_20
393,200929,Other
394,200931,Of_a_Brix_value_not_exceeding_20
395,200939,Other
396,200941,Of_a_Brix_value_not_exceeding_20
397,200949,Other
398,200950,Tomato_juice
399,200961,Of_a_Brix_value_not_exceeding_30
400,200969,Other
401,200971,Of_a_Brix_value_not_exceeding_20
402,200979,Other
403,200981,Cranberry_(Vaccinium_macrocarpon__Vaccinium_oxycoccos__Vaccinium_vitis-idaea)_juice
404,200989,Other
405,200990,Mixtures_of_juices
406,210111,Extracts__essences_and_concentrates
407,210112,Preparations_with_a_basis_of_extracts__essences_or_concentrates_or_with_a_basis_of_coffee
408,210120,Extracts__essences_and_concentrates__of_tea_or_mate__and_preparations_with_a_basis_of_these_extracts__essences_or_concentrates_or_with_a_basis_of_tea_or_mate
409,210220,Inactive_yeasts;_other_single-cell_micro-organisms__dead
410,210320,Tomato_ketchup_and_other_tomato_sauces
411,210330,Mustard_flour_and_meal_and_prepared_mustard
412,210390,Other
413,210410,Soups_and_broths_and_preparations_therefor
414,210500,Ice_cream_and_other_edible_ice__whether_or_not_containing_cocoa
415,210610,Protein_concentrates_and_textured_protein_substances
416,210690,Other
417,220210,Waters__including_mineral_waters_and_aerated_waters__containing_added_sugar_or_other_sweetening_matter_or_flavoured
418,220290,Other
419,220421,In_containers_holding_2ｌ_or_less
420,220429,Other
421,220430,Other_grape_must
422,220590,Other
423,220600,Other_fermented_beverages_(for_example__cider__perry__mead);_mixtures_of_fermented_beverages_and_mixtures_of_fermented_beverages_and_non-alcoholic_beverages__not_elsewhere_specified_or_included
424,220710,Undenatured_ethyl_alcohol_of_an_alcoholic_strength_by_volume_of_80%_vol_or_higher
425,220720,Ethyl_alcohol_and_other_spirits__denatured__of_any_strength
426,220820,Spirits_obtained_by_distilling_grape_wine_or_grape_marc
427,220830,Whiskies
428,220890,Other
429,230120,Flours__meals_and_pellets__of_fish_or_of_crustaceans__molluscs_or_other_aquatic_invertebrates
430,230240,Of_other_cereals
431,230690,Other
432,230910,Dog_or_cat_food__put_up_for_retail_sale
433,230990,Other
434,240319,Other
435,240399,Other
436,250100,Salt_(including_table_salt_and_denatured_salt)_and_pure_sodium_chloride__whether_or_not_in_aqueous_solution_or_containing_added_anti-caking_or_free-flowing_agents;_sea_water
437,250840,Other_clays
438,251990,Other
439,252020,Plasters
440,260200,Manganese_ores_and_concentrates__including_ferruginous_manganese_ores_and_concentrates_with_a_manganese_content_of_20%_or_more__calculated_on_the_dry_weight
441,261400,Titanium_ores_and_concentrates
442,270112,Bituminous_coal
443,270119,Other_coal
444,270400,Coke_and_semi-coke_of_coal__of_lignite_or_of_peat__whether_or_not_agglomerated;_retort_carbon
445,270750,Other_aromatic_hydrocarbon_mixtures_of_which_65%_or_more_by_volume_(including_losses)_distils_at_250℃_by_the_ASTM_D_86_method
446,270799,Other
447,270900,Petroleum_oils_and_oils_obtained_from_bituminous_minerals__crude
448,271012,Light_oils_and_preparations
449,271019,Other
450,271020,Petroleum_oils_and_oils_obtained_from_bituminous_minerals_(other_than_crude)_and_preparations_not_elsewhere_specified_or_included__containing_by_weight_70%_or_more_of_petroleum_oils_or_of_oils_obtained_from_bituminous_minerals__these_oils_being_the_basic_constituents_of_the_preparations__containing_biodiesel__other_than_waste_oils
451,271113,Butanes
452,271114,Ethylene__propylene__butylene_and_butadiene
453,271119,Other
454,271390,Other_residues_of_petroleum_oils_or_of_oils_obtained_from_bituminous_minerals
455,280429,Other
456,280461,Containing_by_weight_not_less_than_99.99_%_of_silicon
457,281119,Other
458,281129,Other
459,281210,Chlorides_and_chloride_oxides
460,281810,Artificial_corundum__whether_or_not_chemically_defined
461,282110,Iron_oxides_and_hydroxides
462,282200,Cobalt_oxides_and_hydroxides;_commercial_cobalt_oxides
463,282490,Other
464,282510,Hydrazine_and_hydroxylamine_and_their_inorganic_salts
465,282560,Germanium_oxides_and_zirconium_dioxide
466,282580,Antimony_oxides
467,282590,Other
468,282619,Other
469,282690,Other
470,282739,Other
471,282759,Other
472,282990,Other
473,283329,Other
474,283429,Other
475,283529,Other
476,283620,Disodium_carbonate
477,283990,Other
478,284150,Other_chromates_and_dichromates;_peroxochromates
479,284190,Other
480,284290,Other
481,284440,Radioactive_elements_and_isotopes_and_compounds_other_than_those_of_subheading_2844.10__2844.20_or_2844.30;_alloys__dispersions_(including_cermets)__ceramic_products_and_mixtures_containing_these_elements__isotopes_or_compounds;_radioactive_residues
482,284610,Cerium_compounds
483,284690,Other
484,284920,Of_silicon
485,284990,Other
486,285210,Chemically_defined
487,285290,Other
488,285300,Other_inorganic_compounds_(including_distilled_or_conductivity_water_and_water_of_similar_purity);_liquid_air_(whether_or_not_rare_gases_have_been_removed);_compressed_air;_amalgams__other_than_amalgams_of_precious_metals
489,290124,Buta-1_3-diene_and_isoprene
490,290219,Other
491,290319,Other
492,290339,Other
493,290373,Dichlorofluoroethanes
494,290374,Chlorodifluoroethanes
495,290376,Bromochlorodifluoromethane__bromotrifluoromethane_and_dibromotetrafluoroethanes
496,290377,Other__perhalogenated_only_with_fluorine_and_chlorine
497,290379,Other
498,290382,Aldrin_(ISO)__chlordane_(ISO)_and_heptachlor_(ISO)
499,290389,Other
500,290399,Other
501,290420,Derivatives_containing_only_nitro_or_only_nitroso_groups
502,290490,Other
503,290516,Octanol_(octyl_alcohol)_and_isomers_thereof
504,290559,Other
505,290619,Other
506,290719,Other
507,290819,Other
508,290919,Other
509,290930,Aromatic_ethers_and_their_halogenated__sulphonated__nitrated_or_nitrosated_derivatives
510,290949,Other
511,291090,Other
512,291249,Other
513,291429,Other
514,291529,Other
515,291539,Other
516,291570,Palmitic_acid__stearic_acid__their_salts_and_esters
517,291590,Other
518,291639,Other
519,291712,Adipic_acid__its_salts_and_esters
520,291734,Other_esters_of_orthophthalic_acid
521,291739,Other
522,291815,Salts_and_esters_of_citric_acid
523,291819,Other
524,291830,Carboxylic_acids_with_aldehyde_or_ketone_function_but_without_other_oxygen_function__their_anhydrides__halides__peroxides__peroxyacids_and_their_derivatives
525,292090,Other
526,292141,Aniline_and_its_salts
527,292213,Triethanolamine_and_its_salts
528,292219,Other
529,292242,Glutamic_acid_and_its_salts
530,292419,Other
531,292429,Other
532,292519,Other
533,292529,Other
534,292910,Isocyanates
535,293090,Other
536,293219,Other
537,293220,Lactones_:
538,293321,Hydantoin_and_its_derivatives
539,293339,Other
540,293349,Other
541,293359,Other
542,293399,Other
543,293499,Other
544,294000,Sugars__chemically_pure__other_than_sucrose__lactose__maltose__glucose_and_fructose;_sugar_ethers__sugar_acetals_and_sugar_esters__and_their_salts__other_than_products_of_heading_29.37__29.38_or_29.39.
545,300190,Other
546,300210,Antisera__other_blood_fractions_and_immunological_products__whether_or_not_modified_or_obtained_by_means_of_biotechnological_processes
547,300290,Other
548,300440,Containing_alkaloids_or_derivatives_thereof_but_not_containing_hormones__other_products_of_heading_29.37_or_antibiotics
549,300490,Other
550,300510,Adhesive_dressings_and_other_articles_having_an_adhesive_layer
551,300610,Sterile_surgical_catgut__similar_sterile_suture_materials_(including_sterile_absorbable_surgical_or_dental_yarns)_and_sterile_tissue_adhesives_for_surgical_wound_closure;_sterile_laminaria_and_sterile_laminaria_tents;_sterile_absorbable_surgical_or_dental_haemostatics;_sterile_surgical_or_dental_adhesion_barriers__whether_or_not_absorbable
552,300640,Dental_cements_and_other_dental_fillings;_bone_reconstruction_cements
553,300691,Appliances_identifiable_for_ostomy_use
554,310430,Potassium_sulphate
555,320190,Other
556,320300,Colouring_matter_of_vegetable_or_animal_origin_(including_dyeing_extracts_but_excluding_animal_black)__whether_or_not_chemically_defined;_preparations_as_specified_in_Note_3_to_this_Chapter_based_on_colouring_matter_of_vegetable_or_animal_origin.
557,320412,Acid_dyes__whether_or_not_premetallised__and_preparations_based_thereon;_mordant_dyes_and_preparations_based_thereon
558,320417,Pigments_and_preparations_based_thereon
559,320419,Other__including_mixtures_of_colouring_matter_of_two_or_more_of_the_subheadings_3204.11_to_3204.19
560,320641,Ultramarine_and_preparations_based_thereon
561,320642,Lithopone_and_other_pigments_and_preparations_based_on_zinc_sulphide
562,320649,Other
563,320890,Other
564,321000,Other_paints_and_varnishes_(including_enamels__lacquers_and_distempers);_prepared_water_pigments_of_a_kind_used_for_finishing_leather.
565,321290,Other
566,330119,Other
567,330125,Of_other_mints
568,330129,Other
569,330210,Of_a_kind_used_in_the_food_or_drink_industries
570,330491,Powders__whether_or_not_compressed
571,330499,Other
572,330790,Other
573,340119,Other
574,340120,Soap_in_other_forms
